fold,model,mae,rmse,r2,spearman,top10_prec,position
2,lgbm,1.83,2.7508,0.0787,0.3401,0.1842,MID
2,lgbm_home,1.9003,2.7565,0.073,0.3491,0.3026,MID
2,lgbm_away,1.7587,2.7451,0.0843,0.3373,0.2974,MID
2,lgbm_vs_top6,1.4972,2.377,0.0727,0.3142,0.4,MID
2,lgbm_vs_rest,1.9682,2.8919,0.0739,0.3408,0.2368,MID
3,baseline,2.0891,3.0455,-0.1076,0.2619,0.1083,MID
3,baseline_home,2.202,3.2307,-0.0877,0.2477,0.2167,MID
3,baseline_away,1.9747,2.8457,-0.147,0.277,0.1958,MID
3,baseline_vs_top6,2.0282,2.8432,-0.2853,0.2004,0.2833,MID
3,baseline_vs_rest,2.115,3.1276,-0.0619,0.2884,0.1458,MID
3,ridge,1.9236,2.7771,0.079,0.3347,0.2083,MID
3,ridge_home,2.0945,3.0002,0.062,0.3085,0.2833,MID
3,ridge_away,1.7505,2.5313,0.0925,0.3517,0.2667,MID
3,ridge_vs_top6,1.6846,2.4888,0.0151,0.2752,0.3167,MID
3,ridge_vs_rest,2.0252,2.8911,0.0926,0.3654,0.2625,MID
3,lgbm,1.9468,2.8223,0.0488,0.3044,0.1708,MID
3,lgbm_home,2.1134,3.0658,0.0205,0.2922,0.25,MID
3,lgbm_away,1.778,2.5523,0.0774,0.3056,0.2958,MID
3,lgbm_vs_top6,1.7044,2.5149,-0.0056,0.2427,0.3083,MID
3,lgbm_vs_rest,2.0499,2.9435,0.0595,0.3304,0.2458,MID
1,baseline,2.46,3.4755,-0.071,0.331,0.3816,FWD
1,baseline_home,2.5087,3.5956,-0.0212,0.3498,0.6611,FWD
1,baseline_away,2.4122,3.3535,-0.1438,0.3152,0.6351,FWD
1,baseline_vs_top6,2.2242,3.1063,-0.1282,0.3369,0.8105,FWD
1,baseline_vs_rest,2.5579,3.6179,-0.0643,0.3318,0.4974,FWD
1,ridge,2.1296,3.2698,0.052,0.3796,0.4368,FWD
1,ridge_home,2.3284,3.4516,0.0589,0.3807,0.6917,FWD
1,ridge_away,1.9346,3.0811,0.0345,0.3819,0.6514,FWD
1,ridge_vs_top6,1.7622,2.8967,0.019,0.3674,0.8053,FWD
1,ridge_vs_rest,2.2823,3.4129,0.0529,0.3783,0.5395,FWD
1,lgbm,2.3937,3.494,-0.0824,0.1568,0.3658,FWD
1,lgbm_home,2.5224,3.6886,-0.0747,0.164,0.5889,FWD
1,lgbm_away,2.2675,3.292,-0.1022,0.1442,0.573,FWD
1,lgbm_vs_top6,1.9849,3.037,-0.0784,0.1381,0.8105,FWD
1,lgbm_vs_rest,2.5636,3.6672,-0.0935,0.1473,0.4579,FWD
2,baseline,2.4974,3.4881,-0.0308,0.3896,0.4632,FWD
2,baseline_home,2.4943,3.5559,0.0522,0.4516,0.75,FWD
2,baseline_away,2.5005,3.4173,-0.1588,0.3268,0.7368,FWD
2,baseline_vs_top6,2.2729,3.198,-0.2098,0.347,0.8882,FWD
2,baseline_vs_rest,2.5969,3.6092,0.0085,0.4049,0.5842,FWD
2,ridge,2.3996,3.2063,0.129,0.4639,0.4711,FWD
2,ridge_home,2.6102,3.3878,0.1396,0.4991,0.7711,FWD
2,ridge_away,2.1843,3.0093,0.1014,0.4172,0.7421,FWD
2,ridge_vs_top6,1.9345,2.7015,0.1367,0.4631,0.8706,FWD
2,ridge_vs_rest,2.6057,3.4062,0.1169,0.4627,0.6395,FWD
2,lgbm,2.5684,3.4218,0.008,0.317,0.4447,FWD
2,lgbm_home,2.7587,3.624,0.0155,0.3356,0.7211,FWD
2,lgbm_away,2.3738,3.2018,-0.0173,0.2851,0.7105,FWD
2,lgbm_vs_top6,2.1375,2.9118,-0.003,0.2734,0.8824,FWD
2,lgbm_vs_rest,2.7594,3.6249,-0.0002,0.3228,0.5816,FWD
3,baseline,2.2613,3.3039,-0.123,0.3201,0.3917,FWD
3,baseline_home,2.105,3.1258,0.0484,0.452,0.7292,FWD
3,baseline_away,2.4199,3.4752,-0.3179,0.1944,0.6583,FWD
3,baseline_vs_top6,2.0456,2.9513,-0.4425,0.2967,0.8625,FWD
