fold,model,mae,rmse,r2,spearman,top10_prec
2,ridge_vs_top6,1.9345,2.7015,0.1367,0.4631,0.8706
2,ridge_vs_rest,2.6057,3.4062,0.1169,0.4627,0.6395
2,lgbm,2.5684,3.4218,0.008,0.317,0.4447
2,lgbm_home,2.7587,3.624,0.0155,0.3356,0.7211
2,lgbm_away,2.3738,3.2018,-0.0173,0.2851,0.7105
2,lgbm_vs_top6,2.1375,2.9118,-0.003,0.2734,0.8824
2,lgbm_vs_rest,2.7594,3.6249,-0.0002,0.3228,0.5816
2,position_mean,2.6635,3.4277,0.0046,0.0667,0.2947
2,position_mean_home,2.936,3.6561,-0.002,,0.5921
2,position_mean_away,2.3849,3.1771,-0.0016,,0.6526
2,position_mean_vs_top6,2.3728,2.9021,0.0037,0.1074,0.8941
2,position_mean_vs_rest,2.7924,3.6364,-0.0065,0.0487,0.4526
2,elasticnet,2.593,3.3313,0.0597,0.4592,0.4763
2,elasticnet_home,2.7371,3.5554,0.0524,0.4985,0.7763
2,elasticnet_away,2.4457,3.0853,0.0554,0.4216,0.7711
2,elasticnet_vs_top6,2.3086,2.8302,0.0524,0.4587,0.8765
2,elasticnet_vs_rest,2.7191,3.5307,0.0511,0.457,0.6158
2,bayesian_ridge,2.4279,3.2031,0.1307,0.4691,0.4579
2,bayesian_ridge_home,2.6326,3.3846,0.1413,0.5039,0.7737
2,bayesian_ridge_away,2.2187,3.0062,0.1033,0.4249,0.7553
2,bayesian_ridge_vs_top6,1.9747,2.7087,0.1321,0.4671,0.8765
2,bayesian_ridge_vs_rest,2.6288,3.3993,0.1205,0.469,0.6211
2,lasso,2.6751,3.4389,-0.002,,0.25
2,lasso_home,2.8376,3.6769,-0.0135,,0.5921
2,lasso_away,2.509,3.177,-0.0016,,0.6526
2,lasso_vs_top6,2.3879,2.9263,-0.013,,0.8824
2,lasso_vs_rest,2.8024,3.643,-0.0102,,0.3947
2,xgb,2.5248,3.3554,0.0461,0.3381,0.4474
2,xgb_home,2.7166,3.5707,0.0442,0.342,0.7158
2,xgb_away,2.3287,3.1199,0.0341,0.3226,0.7132
2,xgb_vs_top6,2.1308,2.924,-0.0114,0.2821,0.8765
2,xgb_vs_rest,2.6994,3.5298,0.0516,0.3543,0.5868
2,random_forest,2.5858,3.32,0.0661,0.3958,0.4447
2,random_forest_home,2.667,3.4456,0.11,0.4465,0.7737
2,random_forest_away,2.5029,3.1863,-0.0074,0.3363,0.7079
2,random_forest_vs_top6,2.213,2.8369,0.048,0.3688,0.8706
2,random_forest_vs_rest,2.7511,3.5129,0.0607,0.3992,0.6026
2,extra_trees,2.5923,3.3371,0.0565,0.3799,0.4447
2,extra_trees_home,2.743,3.4987,0.0824,0.4188,0.7184
2,extra_trees_away,2.4381,3.1633,0.007,0.3246,0.7079
2,extra_trees_vs_top6,2.1886,2.8365,0.0482,0.3762,0.8706
2,extra_trees_vs_rest,2.7712,3.5364,0.0481,0.3737,0.5737
2,hist_gb,2.564,3.4196,0.0093,0.3101,0.4316
2,hist_gb_home,2.7785,3.6507,0.0009,0.3145,0.7158
2,hist_gb_away,2.3447,3.1659,0.0054,0.2928,0.6895
2,hist_gb_vs_top6,2.1315,2.9307,-0.016,0.273,0.8765
2,hist_gb_vs_rest,2.7557,3.6152,0.0052,0.3152,0.5711
2,poisson_glm,2.396,3.2137,0.1249,0.4663,0.4789
2,poisson_glm_home,2.6095,3.4004,0.1332,0.4978,0.7737
2,poisson_glm_away,2.1776,3.0109,0.1004,0.4219,0.7474
2,poisson_glm_vs_top6,1.9313,2.7016,0.1366,0.4677,0.8706
2,poisson_glm_vs_rest,2.6019,3.4162,0.1117,0.4637,0.6368
2,fdr_mean,2.5278,3.4921,-0.0332,0.3973,0.4553
2,fdr_mean_home,2.5219,3.5463,0.0573,0.4543,0.7526
2,fdr_mean_away,2.5339,3.4359,-0.1715,0.3391,0.7263
2,fdr_mean_vs_top6,2.1587,3.0845,-0.1255,0.3448,0.8882
2,fdr_mean_vs_rest,2.6914,3.6583,-0.0187,0.4088,0.5868
2,last_season_avg,2.4974,3.4885,-0.0311,0.3916,0.4684
2,last_season_avg_home,2.487,3.5492,0.0557,0.4563,0.7526
2,last_season_avg_away,2.5079,3.4252,-0.1642,0.3261,0.7421
2,last_season_avg_vs_top6,2.2634,3.1932,-0.2062,0.3528,0.8941
2,last_season_avg_vs_rest,2.601,3.6116,0.0072,0.4052,0.5895
3,baseline,2.2613,3.3039,-0.123,0.3201,0.3917
3,baseline_home,2.105,3.1258,0.0484,0.452,0.7292
3,baseline_away,2.4199,3.4752,-0.3179,0.1944,0.6583
3,baseline_vs_top6,2.0456,2.9513,-0.4425,0.2967,0.8625
3,baseline_vs_rest,2.3584,3.4507,-0.0677,0.3307,0.5417
3,ridge,2.2333,2.989,0.0809,0.3941,0.45
3,ridge_home,2.3509,3.028,0.1071,0.452,0.7083
3,ridge_away,2.1141,2.949,0.0511,0.3622,0.6958
3,ridge_vs_top6,1.8196,2.4834,-0.0214,0.2934,0.8313
3,ridge_vs_rest,2.4195,3.1904,0.0873,0.4006,0.5667
3,lgbm,2.2502,3.0402,0.0491,0.3651,0.4125
3,lgbm_home,2.3543,3.1338,0.0435,0.3965,0.6875
3,lgbm_away,2.1446,2.9422,0.0554,0.3365,0.6875
3,lgbm_vs_top6,1.7884,2.4702,-0.0105,0.2615,0.8313
3,lgbm_vs_rest,2.458,3.2643,0.0445,0.3798,0.5708
