model,position,fold,mae,rmse,r2,spearman,top10_prec
lstm,FWD,1,2.336,3.3227,0.0211,0.282,0.0
gru,FWD,1,2.3656,3.2984,0.0354,0.3151,0.1
lstm,FWD,2,2.4394,3.2655,0.0965,0.4423,0.0
gru,FWD,2,2.4113,3.2334,0.1142,0.4282,0.0
lstm,FWD,3,2.2293,3.0385,0.0502,0.3787,0.2
gru,FWD,3,2.1792,3.0001,0.074,0.3922,0.2
