model,position,fold,mae,rmse,r2,spearman,top10_prec
lstm,GK,1,2.175,2.7474,-0.0862,0.0589,0.0
gru,GK,1,2.1727,2.7294,-0.072,0.0622,0.0
lstm,GK,2,2.2293,2.8647,-0.0612,0.0508,0.0
gru,GK,2,2.1848,2.8543,-0.0536,0.0604,0.0
lstm,GK,3,2.1623,2.775,-0.0419,0.0707,0.0
gru,GK,3,2.1134,2.744,-0.0187,0.1242,0.0
