model,position,fold,mae,rmse,r2,spearman,top10_prec
lstm,DEF,1,2.3509,2.9626,-0.0078,0.2572,0.0
gru,DEF,1,2.3671,2.9593,-0.0055,0.2608,0.0
lstm,DEF,2,2.1165,2.7952,-0.0272,0.2413,0.1
gru,DEF,2,2.0546,2.7276,0.0219,0.2327,0.1
lstm,DEF,3,2.2766,3.2673,-0.0628,0.179,0.0
gru,DEF,3,2.2769,3.2521,-0.0529,0.1641,0.0
