fold,model,mae,rmse,r2,spearman,top10_prec
1,minutes_model_vs_top6,1.7326,2.5904,-0.1499,-0.001,
1,minutes_model_vs_rest,2.204,2.7765,-0.0556,0.0423,0.6919
1,component_model,2.103,3.0546,-0.3427,0.0875,0.5108
1,component_model_home,2.0365,2.9911,-0.2244,0.1017,0.8571
1,component_model_away,2.1684,3.1158,-0.4752,0.0779,0.8846
1,component_model_vs_top6,2.0292,3.0338,-0.5773,-0.0037,
1,component_model_vs_rest,2.1346,3.0635,-0.2852,0.0411,0.6892
1,poly_ridge,4.6473,6.8356,-5.7239,0.0513,0.527
1,poly_ridge_home,4.5504,6.8644,-5.4487,0.0794,0.9
1,poly_ridge_away,4.7425,6.8073,-6.0415,0.0029,0.8615
1,poly_ridge_vs_top6,4.2074,6.0253,-5.2214,0.1236,
1,poly_ridge_vs_rest,4.8353,7.1539,-6.0083,0.0109,0.7108
1,simple_avg,2.1656,2.6906,-0.0418,0.1064,0.5081
1,simple_avg_home,2.321,2.7798,-0.0575,0.0779,0.8857
1,simple_avg_away,2.013,2.6001,-0.0273,0.1355,0.9
1,simple_avg_vs_top6,1.8523,2.4774,-0.0517,0.1089,
1,simple_avg_vs_rest,2.2994,2.7768,-0.0558,0.0516,0.7216
1,stacking,2.1947,2.7051,-0.053,0.1152,0.5243
1,stacking_home,2.3486,2.7961,-0.0699,0.0844,0.8857
1,stacking_away,2.0437,2.6127,-0.0373,0.1455,0.8923
1,stacking_vs_top6,1.8907,2.4946,-0.0664,0.1009,
1,stacking_vs_rest,2.3246,2.7902,-0.0661,0.0646,0.7243
1,blending,2.1626,2.6915,-0.0425,0.0896,0.5
1,blending_home,2.2915,2.7693,-0.0496,0.0871,0.8857
1,blending_away,2.0361,2.6129,-0.0374,0.0878,0.8846
1,blending_vs_top6,1.8477,2.4886,-0.0613,-0.0136,
1,blending_vs_rest,2.2972,2.7737,-0.0535,0.0345,0.7081
2,baseline,2.3404,3.0934,-0.2375,0.0272,0.5237
2,baseline_home,2.3835,3.1785,-0.2839,0.0019,0.85
2,baseline_away,2.297,3.0054,-0.1913,0.0503,0.925
2,baseline_vs_top6,2.2402,3.0529,-0.2521,-0.0376,
2,baseline_vs_rest,2.3831,3.1105,-0.2425,0.0516,0.7579
2,ridge,2.0977,2.759,0.0156,0.1327,0.5579
2,ridge_home,2.1888,2.7962,0.0064,0.1321,0.85
2,ridge_away,2.0062,2.7211,0.0234,0.1822,0.925
2,ridge_vs_top6,1.819,2.7371,-0.0064,0.0247,
2,ridge_vs_rest,2.2166,2.7683,0.0159,0.123,0.7421
2,lgbm,2.1731,2.8298,-0.0356,0.096,0.5526
2,lgbm_home,2.2446,2.8887,-0.0605,0.0701,0.85
2,lgbm_away,2.1013,2.7693,-0.0114,0.1369,0.925
2,lgbm_vs_top6,2.0115,2.9032,-0.1323,-0.0819,
2,lgbm_vs_rest,2.242,2.7979,-0.0053,0.1336,0.7263
2,position_mean,2.1945,2.792,-0.0081,-0.0556,0.4737
2,position_mean_home,2.2943,2.8239,-0.0134,,0.9
2,position_mean_away,2.0941,2.7596,-0.0044,,0.925
2,position_mean_vs_top6,2.1097,2.7538,-0.0188,0.0008,
2,position_mean_vs_rest,2.2306,2.8082,-0.0127,-0.0825,0.7158
2,elasticnet,2.1874,2.7817,-0.0006,,0.5079
2,elasticnet_home,2.2126,2.8093,-0.003,,0.9
2,elasticnet_away,2.162,2.7536,-0.0,,0.925
2,elasticnet_vs_top6,2.1117,2.7586,-0.0223,,
2,elasticnet_vs_rest,2.2196,2.7914,-0.0007,,0.7421
2,bayesian_ridge,2.1088,2.7476,0.0237,0.1441,0.5632
2,bayesian_ridge_home,2.1869,2.7855,0.0139,0.1452,0.85
2,bayesian_ridge_away,2.0304,2.709,0.0322,0.1988,0.925
2,bayesian_ridge_vs_top6,1.8733,2.7077,0.0151,0.082,
2,bayesian_ridge_vs_rest,2.2093,2.7644,0.0186,0.1323,0.7421
2,lasso,2.1874,2.7817,-0.0006,,0.5079
2,lasso_home,2.2126,2.8093,-0.003,,0.9
2,lasso_away,2.162,2.7536,-0.0,,0.925
2,lasso_vs_top6,2.1117,2.7586,-0.0223,,
2,lasso_vs_rest,2.2196,2.7914,-0.0007,,0.7421
2,xgb,2.1022,2.7622,0.0133,0.1574,0.5737
2,xgb_home,2.1564,2.7753,0.0211,0.1609,0.85
2,xgb_away,2.0476,2.7489,0.0034,0.1744,0.925
2,xgb_vs_top6,1.895,2.7737,-0.0335,0.0282,
2,xgb_vs_rest,2.1905,2.7572,0.0237,0.1758,0.7395
2,random_forest,2.1784,2.7942,-0.0097,0.1478,0.5553
2,random_forest_home,2.246,2.8403,-0.0252,0.1264,0.875
2,random_forest_away,2.1103,2.7471,0.0047,0.1866,0.925
2,random_forest_vs_top6,1.9828,2.8117,-0.062,-0.02,
2,random_forest_vs_rest,2.2618,2.7867,0.0027,0.1695,0.7605
2,extra_trees,2.1872,2.814,-0.0241,0.1066,0.5605
2,extra_trees_home,2.2905,2.89,-0.0614,0.0432,0.875
2,extra_trees_away,2.0834,2.7356,0.013,0.1905,0.9
2,extra_trees_vs_top6,2.0108,2.8803,-0.1145,-0.1161,
2,extra_trees_vs_rest,2.2624,2.7853,0.0037,0.1536,0.7421
2,hist_gb,2.187,2.8738,-0.068,0.115,0.5526
2,hist_gb_home,2.2509,2.9234,-0.0861,0.0761,0.85
2,hist_gb_away,2.1227,2.8231,-0.0511,0.1634,0.925
2,hist_gb_vs_top6,2.0383,2.9034,-0.1324,0.019,
2,hist_gb_vs_rest,2.2503,2.8611,-0.0512,0.1304,0.7474
2,poisson_glm,2.0959,2.7579,0.0164,0.1311,0.5579
2,poisson_glm_home,2.1846,2.7944,0.0076,0.1319,0.85
2,poisson_glm_away,2.0068,2.7207,0.0237,0.1796,0.925
2,poisson_glm_vs_top6,1.8221,2.7328,-0.0032,0.0246,
2,poisson_glm_vs_rest,2.2127,2.7686,0.0156,0.1208,0.7421
2,fdr_mean,2.3778,3.1249,-0.2628,0.0579,0.5447
2,fdr_mean_home,2.4481,3.2329,-0.3283,0.0137,0.85
2,fdr_mean_away,2.3071,3.0124,-0.1968,0.0981,0.925
2,fdr_mean_vs_top6,2.0482,2.9608,-0.1777,-0.0424,
2,fdr_mean_vs_rest,2.5184,3.1923,-0.3087,0.0513,0.7605
2,last_season_avg,2.3386,3.091,-0.2356,0.0283,0.5237
2,last_season_avg_home,2.3851,3.1765,-0.2823,0.0008,0.85
2,last_season_avg_away,2.292,3.0027,-0.1891,0.0537,0.925
2,last_season_avg_vs_top6,2.2414,3.0543,-0.2532,-0.0404,
2,last_season_avg_vs_rest,2.3801,3.1066,-0.2394,0.0542,0.7605
2,mlp,2.068,2.844,-0.046,0.0747,0.5158
2,mlp_home,2.0723,2.8308,-0.0184,0.1082,0.9
2,mlp_away,2.0636,2.8572,-0.0767,0.0513,0.9
2,mlp_vs_top6,1.8475,2.7843,-0.0414,0.0942,
2,mlp_vs_rest,2.162,2.8691,-0.0571,0.0404,0.7132
2,minutes_model,2.0975,2.7676,0.0094,0.1288,0.5579
2,minutes_model_home,2.1604,2.8064,-0.0009,0.1044,0.85
2,minutes_model_away,2.0342,2.7281,0.0185,0.1771,0.9
2,minutes_model_vs_top6,1.8318,2.7759,-0.0352,0.0146,
2,minutes_model_vs_rest,2.2107,2.764,0.0189,0.1409,0.75
2,component_model,2.2075,3.2778,-0.3895,0.1282,0.5526
2,component_model_home,2.0409,3.1401,-0.2531,0.1346,0.85
2,component_model_away,2.375,3.4107,-0.5342,0.1852,0.9
